inertia0,inertia1,inertia2,ipos0,ipos1,ipos2,iquat0,iquat1,iquat2,iquat3,mass,name,pos0,pos1,pos2,quat0,quat1,quat2,quat3
0,0,0,0,0,0,1,0,0,0,0,world,0,0,0,1,0,0,0
0.00716378,0.00579714,0.002636,-0.00109358,-0.000496004,-0.0506492,0.713948132,0.700188129,-0.00232079,0.003043541,1.65846,torso,0,0,0.7,1,0,0,0
6.60E-05,5.10E-05,4.16E-05,-0.00579418,-0.00485658,-4.87E-05,0.697881898,0.705521897,0.087736587,0.086614087,0.136871,left-shoulder-pitch,0,0.191117,0,1,0,0,0
5.34E-05,4.84E-05,3.19E-05,-0.00648444,2.21E-07,-0.0279398,5.00E-05,0.755766813,7.30E-06,0.654840838,0.0584948,left-shoulder-roll,0,0,0,1,0,0,0
0.000433292,0.000366772,0.000142743,-0.00439901,-0.00108568,-0.0984853,0.999379921,-0.035135897,-0.000420278,0.00225075,0.301865,left-shoulder-yaw,0,0,0,1,0,0,0
0.000219474,0.000181017,0.00011805,4.56E-08,-0.000377398,-0.0774325,0.999995179,-0.003104881,-1.86E-06,-4.73E-05,0.149114,left-elbow-pitch,-0.0045,0,-0.14205,1,0,0,0
6.60E-05,5.10E-05,4.16E-05,-0.00129418,0.00485658,4.87E-05,0.697881898,0.705521897,-0.087736587,-0.086614087,0.136871,right-shoulder-pitch,-0.0045,-0.191117,0,1,0,0,0
5.34E-05,4.84E-05,3.19E-05,-0.00198444,2.21E-07,-0.0279398,5.00E-05,0.755766813,7.30E-06,0.654840838,0.0584948,right-shoulder-roll,0,0,0,1,0,0,0
0.000431443,0.000363158,0.000140923,-0.000102957,0.00154582,-0.0976366,0.999369973,0.035421299,0.000402892,0.00219703,0.296097,right-shoulder-yaw,0,0,0,1,0,0,0
0.000219474,0.000181017,0.00011805,-4.56E-08,0.000427398,-0.0774325,0.999995179,0.003104881,1.86E-06,-4.73E-05,0.149114,right-elbow-pitch,0,0,-0.14205,1,0,0,0
0.000973957,0.0008614,0.000309655,0.00016632,1.15E-08,-0.0419723,0.498460876,0.498452876,-0.501539876,0.501536876,0.653707,waist-yaw,0,0,-0.19736,1,0,0,0
0.000132895,8.72E-05,7.80E-05,-0.00230605,-0.000857886,-0.000226264,0.534240738,0.454439777,-0.480696764,0.526309742,0.144606,left-hip-pitch,0.0001,0.09555,-0.057,0.999968902,0.007886379,0,0
0.000129935,0.000110604,7.76E-05,-0.00080747,-6.97E-07,-0.0401265,0.47423026,0.524513288,0.524532288,0.47419126,0.0856326,left-hip-roll,0,0,0,1,0,0,0
0.000827257,0.000752788,0.000150798,0.0116974,-0.000606813,-0.147531,0.999907286,-0.010747603,-0.002518131,-0.007972962,0.274736,left-hip-yaw,0,0,0,1,0,0,0
0.000585408,0.000559765,6.56E-05,0.00451245,0.00178956,-0.0922373,0.706976062,0.015194301,0.00295576,0.707068062,0.16022,left-knee-pitch,0,0,-0.26105,0.999968902,-0.007886379,0,0
0.000314826,0.000294175,4.61E-05,0.0149416,0.000219714,-0.0139331,-0.005791107,0.734040679,-0.005353858,0.679059703,0.135651,left-ankle-pitch,0,0.00310446,-0.199976,1,0,0,0
0.000132521,8.68E-05,7.78E-05,-0.00184146,0.000815561,-0.000261056,0.457535853,0.531586829,-0.522443832,0.484900844,0.142147,right-hip-pitch,0,-0.09555,-0.057,1,0,0,0
0.000129936,0.000110604,7.76E-05,-0.000857464,-7.14E-07,-0.0401265,0.474234188,0.524512208,0.524536208,0.474184188,0.0856326,right-hip-roll,0,0,0,1,0,0,0
0.000827332,0.000752936,0.000150873,-0.0117172,0.000677608,-0.147824,0.999907222,0.010746302,0.002518271,-0.007982662,0.275448,right-hip-yaw,0,0,0,1,0,0,0
0.000586333,0.00056055,6.57E-05,0.00448637,-0.000253579,-0.092271,0.706229885,0.008337639,0.009263428,0.707872885,0.160573,right-knee-pitch,-5.00E-05,0,-0.26105,1,0,0,0
0.000314826,0.000294175,4.61E-05,0.0149967,-7.00E-08,-0.0138755,-1.90E-06,0.732716734,1.77E-06,0.680533753,0.135651,right-ankle-pitch,0,5.00E-05,-0.2,1,0,0,0
