armature,axis0,axis1,axis2,bodyid,damping,frictionloss,name,pos0,pos1,pos2,range0,range1,stiffness,type
0,0,0,1,1,0,0,dummy_to_base_link,0,0,0,0,0,0,free
0,0,-1,0,2,0,0,left-shoulder-pitch,0,0,0,-1,1,0,hinge
0,-1,0,0,3,0,0,left-shoulder-roll,0,0,0,-1,1,0,hinge
0,0,0,-1,4,0,0,left-shoulder-yaw,0,0,0,-1,1,0,hinge
0,0,1,0,5,0,0,left-elbow-pitch,0,0,0,-1,1,0,hinge
0,0,1,0,6,0,0,right-shoulder-pitch,0,0,0,-1,1,0,hinge
0,-1,0,0,7,0,0,right-shoulder-roll,0,0,0,-1,1,0,hinge
0,0,0,-1,8,0,0,right-shoulder-yaw,0,0,0,-1,1,0,hinge
0,0,-1,0,9,0,0,right-elbow-pitch,0,0,0,-1,1,0,hinge
0,0,0,-1,10,0,0,waist-yaw,0,0,0,-1,1,0,hinge
0,0,-1,0,11,0,0,left-hip-pitch,0,0,0,-1.05,1.05,0,hinge
0,1,0,0,12,0,0,left-hip-roll,0,0,0,-0.52,0.785,0,hinge
0,0,0,-1,13,0,0,left-hip-yaw,0,0,0,-0.52,0.785,0,hinge
0,0,-1,0,14,0,0,left-knee-pitch,0,0,0,-0.3,2.3562,0,hinge
0,0,-1,0,15,0,0,left-ankle-pitch,0,0,0,-1.047,0.3,0,hinge
0,0,-1,0,16,0,0,right-hip-pitch,0,0,0,-1.05,1.05,0,hinge
0,1,0,0,17,0,0,right-hip-roll,0,0,0,-0.785,0.52,0,hinge
0,0,0,-1,18,0,0,right-hip-yaw,0,0,0,-0.785,0.52,0,hinge
0,0,1,0,19,0,0,right-knee-pitch,0,0,0,-0.3,2.3562,0,hinge
0,0,-1,0,20,0,0,right-ankle-pitch,0,0,0,-1.047,0.3,0,hinge
