ctrlrange0,ctrlrange1,joint,name
-12,12,waist-yaw,waist-yaw_motor
-28,28,left-hip-pitch,left-hip-pitch_motor
-28,28,left-hip-roll,left-hip-roll_motor
-28,28,left-hip-yaw,left-hip-yaw_motor
-28,28,left-knee-pitch,left-knee-pitch_motor
-28,28,left-ankle-pitch,left-ankle-pitch_motor
-28,28,right-hip-pitch,right-hip-pitch_motor
-28,28,right-hip-roll,right-hip-roll_motor
-28,28,right-hip-yaw,right-hip-yaw_motor
-28,28,right-knee-pitch,right-knee-pitch_motor
-28,28,right-ankle-pitch,right-ankle-pitch_motor
